Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
10:15:00.000-08:00,10:30:00.000-08:00,,18.744790749378275,,,,,,,,,,,9,,,,900000,
10:30:00.000-08:00,10:45:00.000-08:00,3,18.744790749378275,98.46670138567538,,,,,,,0.6781091799083526,0.8218833208084106,0.35988664627075195,159,,,,861490,
10:45:00.000-08:00,11:00:00.000-08:00,,18.744790749378275,5.989465835393951,,,,,,,0.3300889730453491,0.3300889730453491,0.3300889730453491,9,,,,900000,
11:00:00.000-08:00,11:15:00.000-08:00,,18.744790749378275,17.867502212524414,,,,,,,0.6682224273681641,0.6682224273681641,0.6682224273681641,34,,,,900000,
11:15:00.000-08:00,11:30:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
11:30:00.000-08:00,11:45:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
11:45:00.000-08:00,12:00:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
12:00:00.000-08:00,12:15:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
12:15:00.000-08:00,12:30:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
12:30:00.000-08:00,12:45:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
12:45:00.000-08:00,13:00:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
13:00:00.000-08:00,13:15:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
13:15:00.000-08:00,13:30:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
13:30:00.000-08:00,13:45:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
13:45:00.000-08:00,14:00:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
14:00:00.000-08:00,14:15:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
14:15:00.000-08:00,14:30:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
14:30:00.000-08:00,14:45:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
14:45:00.000-08:00,15:00:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
15:00:00.000-08:00,15:15:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
15:15:00.000-08:00,15:30:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
15:30:00.000-08:00,15:45:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
15:45:00.000-08:00,16:00:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
16:00:00.000-08:00,16:15:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
16:15:00.000-08:00,16:30:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
16:30:00.000-08:00,16:45:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
16:45:00.000-08:00,17:00:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
17:00:00.000-08:00,17:15:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
17:15:00.000-08:00,17:30:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
17:30:00.000-08:00,17:45:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
17:45:00.000-08:00,18:00:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
18:00:00.000-08:00,18:15:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
18:15:00.000-08:00,18:30:00.000-08:00,,18.744790749378275,,,,,,,,,,,9,,,,900000,
18:30:00.000-08:00,18:45:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
18:45:00.000-08:00,19:00:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
19:00:00.000-08:00,19:15:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
19:15:00.000-08:00,19:30:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
19:30:00.000-08:00,19:45:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
19:45:00.000-08:00,20:00:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
20:00:00.000-08:00,20:15:00.000-08:00,,18.744790749378275,,,,,,,,,,,,,,,900000,
20:15:00.000-08:00,20:30:00.000-08:00,2,31.418277897848643,129.22704696655273,,,,,,,0.8031609396786468,0.965713381767273,0.5463756918907166,220,,,,726668,173332
20:30:00.000-08:00,20:45:00.000-08:00,,18.744790369158416,,,,,,,,,,,,,,,900000,
20:45:00.000-08:00,21:00:00.000-08:00,5,31.532031378391217,215.745361328125,,,,,,,0.8780131396180806,1.3392688035964966,0.4509252905845642,349,,,,585109,174887
21:00:00.000-08:00,21:15:00.000-08:00,2,24.578202015118023,81.51305770874023,,,,,,,0.8149896860122681,0.994107723236084,0.6358716487884521,148,,,,820218,79782
21:15:00.000-08:00,21:30:00.000-08:00,2,20.324336524497024,63.94385476385664,,,,,,,0.4061206900255032,0.7892135977745056,0.2977916896343231,101,,,,268776,21603
21:30:00.000-08:00,21:45:00.000-08:00,6,18.74479227062311,200.8768177481978,,,,,,,0.7037863858259474,1.15107262134552,0.2634311020374298,323,,,,900000,
21:45:00.000-08:00,22:00:00.000-08:00,4,18.74479227062311,211.95397478947626,,,,,,,0.5024385197220207,1.0639731884002686,0.2748846411705017,335,,,,900000,
22:00:00.000-08:00,22:15:00.000-08:00,11,23.208942843842458,364.87613414765883,,,,,,,0.6388679602870669,1.0509982109069824,0.29966384172439575,568,,,,427166,61055
22:15:00.000-08:00,22:30:00.000-08:00,5,18.74479034697862,222.50036567796195,1.0,1,,,,,0.7173347186079267,1.2909603118896484,0.3093588054180145,355,,,,430815,
22:30:00.000-08:00,22:45:00.000-08:00,,18.74479034697862,,,,,,,,,,,1,,,,190630,
22:45:00.000-08:00,23:00:00.000-08:00,,18.74479034697862,,,,,,,,,,,,,,,,
23:00:00.000-08:00,23:15:00.000-08:00,,18.74479034697862,,,,,,,,,,,,,,,,
23:15:00.000-08:00,23:30:00.000-08:00,,18.74479034697862,,,,,,,,,,,,,,,,
23:30:00.000-08:00,23:45:00.000-08:00,1,18.74479034697862,61.08804988861084,,,,,,,1.2384780830068496,1.3098832368850708,0.9137088060379028,95,,,,187371,
23:45:00.000-08:00,00:00:00.000-08:00,5,18.74479034697862,198.87069749832153,,,,,,,0.7323984368790569,1.2449053525924683,0.2634311020374298,319,,,,900000,
