type,sourceName,value,unit,startDate,endDate,duration,minimum,CardioFitnessMedicationsUse,time,maximum,durationUnit,sum,average,workoutActivityType
EnvironmentalAudioExposure,Casio G-Shock,60.9439,dBASPL,2022-10-07 23:10:00,10/7/22 23:42,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,63.8544,dBASPL,2022-10-07 23:40:00,10/8/22 0:00,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,60.6443,dBASPL,2022-10-07 23:50:00,10/8/22 0:22,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,59.6681,dBASPL,2022-10-08 00:20:00,10/8/22 0:52,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,57.195,dBASPL,2022-10-08 06:30:00,10/8/22 6:59,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,65.5295,dBASPL,2022-10-09 23:30:00,10/10/22 0:04,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,61.4788,dBASPL,2022-10-10 00:00:00,10/10/22 0:34,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,58.6119,dBASPL,2022-10-10 00:30:00,10/10/22 1:04,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,55.4257,dBASPL,2022-10-10 01:00:00,10/10/22 1:17,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,53.9275,dBASPL,2022-10-10 01:30:00,10/10/22 2:00,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,59.1528,dBASPL,2022-10-10 02:00:00,10/10/22 2:28,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,69.0546,dBASPL,2022-10-10 02:30:00,10/10/22 2:35,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,74.064,dBASPL,2022-10-10 06:30:00,10/10/22 7:02,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,53.8084,dBASPL,2022-10-10 07:00:00,10/10/22 7:32,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,64.0119,dBASPL,2022-10-10 07:30:00,10/10/22 8:02,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,56.5443,dBASPL,2022-10-10 08:00:00,10/10/22 8:32,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,56.9903,dBASPL,2022-10-10 08:30:00,10/10/22 9:02,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,62.8043,dBASPL,2022-10-10 09:00:00,10/10/22 9:18,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,52.3986,dBASPL,2022-10-10 21:00:00,10/10/22 21:06,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,70.6375,dBASPL,2022-10-10 22:40:00,10/10/22 23:18,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,59.2195,dBASPL,2022-10-10 23:10:00,10/10/22 23:48,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,60.4574,dBASPL,2022-10-10 23:40:00,10/11/22 0:18,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,68.3346,dBASPL,2022-10-11 00:10:00,10/11/22 0:48,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,58.01,dBASPL,2022-10-11 00:40:00,10/11/22 1:14,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,62.5509,dBASPL,2022-10-11 02:20:00,10/11/22 2:51,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,59.2133,dBASPL,2022-10-11 02:50:00,10/11/22 3:21,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,57.7616,dBASPL,2022-10-11 03:20:00,10/11/22 3:51,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,56.4777,dBASPL,2022-10-11 03:50:00,10/11/22 4:21,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,58.5038,dBASPL,2022-10-11 04:20:00,10/11/22 4:51,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,70.0405,dBASPL,2022-10-11 04:50:00,10/11/22 5:04,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,64.3022,dBASPL,2022-10-11 05:10:00,10/11/22 5:47,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,55.9917,dBASPL,2022-10-11 05:40:00,10/11/22 6:17,,,,,,,,,
EnvironmentalAudioExposure,Casio G-Shock,60.9276,dBASPL,2022-10-11 06:10:00,10/11/22 6:47,,,,,,,,,
